Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes,GISID,longitude,latitude
M28,15,8/20/2022,EG/LS/HA,3,0,1,4,,M28 15,-68.24591013,44.14558494
P34,21,8/12/2022,EG/LS,0,1,1,2,,P34 21,-68.24457755,44.14269861
K22,6,6/12/2022,"LS, EG",0,0,1,1,,K22 6,-68.24762501,44.14838726
N07,3,7/21/2022,EG/LS,0,0,0,0,,N07 3,-68.24541233,44.15521513
J19,9,7/8/2022,EG/LS,0,0,0,0,,J19 9,-68.24785792,44.14973928
O35,10,8/11/2022,EG/LS,2,0,0,2,,O35 10,-68.24472035,44.14252257
F22,5,7/10/2022,EG/LS,0,0,0,0,,F22 5,-68.2502495,44.14849455
L36,9,8/13/2022,EG/LS,0,0,0,0,,L36 9,-68.24670492,44.14207892
L09,24,6/25/2022,EG/LS/JM,0,0,0,0,,L09 24,-68.24660385,44.15397486
F20,17,7/9/2022,EG/LS,0,3,4,7,,F20 17,-68.25061662,44.14912718
G21,8,6/28/2022,EG/LS,0,0,0,0,,G21 8,-68.24986985,44.14885218
O33,7,8/11/2022,EG/LS,0,0,0,0,,O33 7,-68.2450625,44.14341856
K06,16,7/12/2022,EG/LS,2,3,0,5,,K06 16,-68.24753579,44.1554092
D19,16,7/9/2022,EG/LS/JM,5,6,3,14,,D19 16,-68.25194934,44.14960324
M05,4,8/18/2022,EG/LS/HA,2,2,1,5,,M05 4,-68.24590104,44.15611868
K35,14,8/13/2022,EG/LS,1,4,4,9,,K35 14,-68.24732543,44.14244314
O29,13,6/11/2022,EG,2,1,3,6,,O29 13,-68.24491567,44.14512821
L06,11,7/12/2022,EG/LS,14,2,0,16,,L06 11,-68.24690942,44.15549511
K21,24,6/12/2022,EG,0,2,0,2,,K21 24,-68.24724763,44.14856484
L08,24,6/25/2022,EG/LS/JM,0,0,0,0,,L08 24,-68.24654804,44.15441234
M17,21,7/4/2022,EG/LS,0,3,5,8,1 death,M17 21,-68.24637559,44.15035652
E07,25,6/17/2022,EG/LS,0,0,0,0,,E07 25,-68.25079379,44.15489042
L07,21,6/25/2022,EG/LS,0,0,0,0,1 pair wings,L07 21,-68.24691744,44.15486494
M05,19,8/18/2022,EG/LS/HA,6,4,5,15,1 death,M05 19,-68.24590448,44.15584861
E18,20,7/30/2022,EG/LS,0,1,2,3,1 death,E18 20,-68.25085529,44.15002907
K33,9,6/11/2022,EG,0,0,1,1,2 HERG nests,K33 9,-68.24731284,44.14343341
I06,20,7/12/2022,EG/LS,0,0,0,0,1 death,I06 20,-68.2482872,44.15532412
J13,5,7/25/2022,EG/LS/JM,0,0,0,0,,J13 5,-68.24769744,44.15252923
M24,6,6/23/2022,EG,0,1,1,2,,M24 6,-68.24638617,44.14747877
J28,10,6/29/2022,EG/LS,0,0,0,0,,J28 10,-68.24778434,44.14568733
N28,6,6/18/2022,EG/LS,0,0,0,0,,N28 6,-68.24578396,44.14567414
I12,18,7/28/2022,EG/LS/AP,0,0,0,0,,I12 18,-68.24857042,44.15271504
L20,14,7/7/2022,EG/LS/JM,1,4,2,7,,L20 14,-68.24661447,44.14919089
I28,15,7/16/2022,EG/LS,0,0,0,0,,I28 15,-68.2484106,44.14560142
O31,8,6/18/2022,EG/LS,0,0,0,0,,O31 8,-68.244926,44.14431799
M28,24,8/20/2022,EG/LS/HA,1,0,3,4,,M28 24,-68.24603744,44.14540572
M05,17,8/18/2022,EG/LS/HA,11,2,6,19,,M05 17,-68.24615457,44.15585026
O35,7,8/11/2022,EG/LS,0,0,0,0,,O35 7,-68.24507397,44.14251831
F19,16,7/9/2022,EG/LS,0,1,0,1,,F19 16,-68.25073595,44.14957813
J29,16,6/29/2022,EG/LS,0,0,0,0,,J29 16,-68.24829243,44.14506045
N33,6,8/11/2022,EG/LS,0,0,0,0,,N33 6,-68.24581261,44.14342352
M35,16,8/11/2022,EG/LS,0,0,0,0,,M35 16,-68.24645145,44.14234734
J10,14,7/5/2022,EG/LS,0,0,0,0,,J10 14,-68.24780761,44.15370038
M28,21,8/20/2022,EG/LS/HA,0,2,1,3,,M28 21,-68.24641251,44.14540819
D16,3,7/30/2022,EG/LS,0,2,0,2,,D16 3,-68.25171574,44.15120514
J20,23,7/8/2022,EG/LS,0,0,0,0,,J20 23,-68.2479921,44.1490199
M05,8,8/18/2022,EG/LS/HA,9,3,5,17,,M05 8,-68.24602723,44.15602948
F06,5,6/17/2022,EG/LS,0,0,0,0,,F06 5,-68.25015831,44.15569655
L23,16,6/23/2022,LS,0,0,1,1,,L23 16,-68.24700787,44.14775297
E05,13,7/13/2022,EG/LS/JM,0,0,0,0,,E05 13,-68.25102221,44.1559613
G18,13,6/28/2022,EG/LS,0,1,3,4,,G18 13,-68.24985388,44.15011253
L06,24,7/12/2022,EG/LS,2,1,1,4,,L06 24,-68.24653658,44.15531259
M25,12,6/22/2022,EG/LS,1,0,0,1,,M25 12,-68.24626801,44.14693779
E07,16,6/17/2022,EG/LS,0,0,0,0,,E07 16,-68.25129283,44.15498373
H04,25,7/24/2022,EG/LS/WH,0,0,0,0,,H04 25,-68.24890101,44.15622848
J06,21,7/12/2022,EG/LS,0,0,0,0,,J06 21,-68.24816216,44.1553233
M28,2,6/18/2022,EG/LS,0,5,3,8,,M28 2,-68.24628291,44.14576747
L27,24,6/22/2022,EG/LS,0,0,0,0,,L27 24,-68.24665683,44.14585997
G17,22,6/24/2022,EG/LS/AP,0,0,0,0,,G17 22,-68.2499755,44.15038343
I16,2,6/24/2022,EG/LS/AP,0,0,0,0,,I16 2,-68.24871488,44.15118544
I20,21,6/28/2022,EG/LS,0,2,0,2,,I20 21,-68.24886732,44.14902566
J31,13,8/13/2022,EG/LS,0,0,0,0,,J31 13,-68.24805267,44.14424858
E19,17,7/9/2022,EG/LS/JM,0,1,1,2,,E19 17,-68.25123608,44.14958141
D06,24,8/16/2022,EG/LS,0,0,0,0,,D06 24,-68.25153836,44.15534547
I10,22,7/5/2022,EG/LS,0,0,0,0,,I10 22,-68.24868518,44.15352609
H29,7,7/16/2022,EG/LS,0,0,0,0,,H29 7,-68.24941536,44.1452479
F15,18,7/28/2022,EG/LS/AP,0,0,0,0,,F15 18,-68.2504631,44.15137699
M28,18,8/20/2022,EG/LS/HA,0,1,0,1,,M28 18,-68.24616132,44.14549657
N04,1,7/22/2022,EG/LS,3,2,4,9,1 death,N04 1,-68.24564521,44.15656716
M25,24,6/22/2022,EG/LS,1,1,1,3,1 wing,M25 24,-68.24602025,44.14675609
J20,17,7/8/2022,EG/LS,0,0,0,0,1 death,J20 17,-68.24811599,44.14911075
N05,10,7/21/2022,EG/LS,6,2,1,9,3 deaths,N05 10,-68.24515191,44.1560237
L25,21,6/22/2022,EG/LS,1,0,0,1,,L25 21,-68.24702046,44.14676269
F07,16,6/17/2022,LS,0,0,0,0,,F07 16,-68.25066761,44.15497963
J03,17,7/24/2022,EG/LS/WH,0,0,0,0,,J03 17,-68.24801882,44.15676287
N25,25,8/19/2022,EG/LS/HA,14,6,8,28,,N25 25,-68.24527009,44.14675114
M22,12,6/23/2022,LS,9,7,9,25,1 pair wings,M22 12,-68.24625083,44.14828817
P29,17,7/13/2022,EG/LS/JM,0,0,0,0,,P29 17,-68.24446886,44.14499606
H05,21,7/13/2022,EG/LS,0,0,0,0,,H05 21,-68.2494069,44.15578164
J27,1,6/29/2022,EG/LS/JM,7,1,4,12,"4 wings, very fresh",J27 1,-68.24827758,44.14623077
M01,12,8/15/2022,EG/LS,1,1,1,3,,M01 12,-68.2461305,44.15774078
N25,17,8/19/2022,EG/LS/HA,4,0,3,7,,N25 17,-68.24564403,44.14684364
I22,3,7/10/2022,EG/LS,0,0,0,0,,I22 3,-68.24862411,44.14848387
J34,22,8/13/2022,EG/LS,1,4,4,9,,J34 22,-68.24818931,44.14272332
G05,15,7/13/2022,EG/LS,0,0,0,0,,G05 15,-68.24952966,44.15596251
H31,2,8/13/2022,EG/LS,0,0,0,0,,H31 2,-68.24942563,44.14443767
N07,8,7/21/2022,EG/LS,0,0,0,0,near otter stream thing,N07 8,-68.24541348,44.15512511
M21,14,6/12/2022,LS,0,1,1,2,,M21 14,-68.24599504,44.14873664
L32,2,6/11/2022,LS,0,0,0,0,,L32 2,-68.24693092,44.14397109
M04,13,7/24/2022,EG/LS/WH,7,2,6,15,2 deaths,M04 13,-68.24602265,44.15638958
B07,10,8/16/2022,EG/LS,0,0,0,0,,B07 10,-68.25266604,44.15517278
K08,3,6/25/2022,EG/LS/JM,0,2,0,2,,K08 3,-68.24729371,44.15477738
P31,1,8/12/2022,EG/LS,0,0,0,0,,P31 1,-68.24454979,44.14440553
J24,25,6/23/2022,LS,1,0,2,3,,J24 25,-68.2477649,44.14721776
I12,8,7/28/2022,EG/LS/AP,0,0,0,0,,I12 8,-68.24856814,44.15289509
O26,24,6/16/2022,EG/LS,4,1,2,7,,O26 24,-68.24477825,44.14629838
M28,25,8/20/2022,EG/LS/HA,0,2,0,2,,M28 25,-68.24591242,44.14540489
F05,14,7/13/2022,EG/LS,0,0,0,0,,F05 14,-68.25027994,44.15596744
J18,18,7/8/2022,EG/LS,0,0,0,0,,J18 18,-68.24797952,44.15001018
N25,10,8/19/2022,EG/LS/HA,10,4,12,26,,N25 10,-68.24526665,44.14702122
M03,13,7/24/2022,EG/LS/WH,6,0,0,6,,M03 13,-68.24601691,44.15683971
M05,10,8/18/2022,EG/LS/HA,0,0,1,1,1 death,M05 10,-68.24577714,44.15602783
M05,23,8/18/2022,EG/LS/HA,9,2,4,15,,M05 23,-68.24603067,44.15575941
G02,23,8/15/2022,EG/LS,0,0,0,0,,G02 23,-68.24976304,44.15713329
I17,19,6/24/2022,EG/LS/AP,0,0,0,0,,I17 19,-68.24847395,44.1504636
K23,25,6/23/2022,EG/LS/JM,0,0,0,0,,K23 25,-68.24713405,44.14766376
F16,17,7/9/2022,EG/LS,0,0,0,0,,F16 17,-68.25059383,44.15092768
H15,3,7/28/2022,EG/LS/AP,0,0,0,0,,H15 3,-68.24920931,44.15163885
L08,21,6/25/2022,EG/LS/JM,0,0,0,0,,L08 21,-68.24692316,44.15441481
G02,20,8/15/2022,EG/LS,0,0,0,0,,G02 20,-68.24951369,44.15722286
M05,6,8/18/2022,EG/LS/HA,12,2,4,18,,M05 6,-68.24627732,44.15603114
N30,21,6/11/2022,LS,8,2,1,11,,N30 21,-68.24579886,44.14450382
M05,7,8/18/2022,EG/LS/HA,30,2,5,37,,M05 7,-68.24615228,44.15603031
K24,23,6/23/2022,EG/JM,0,0,0,0,,K24 23,-68.24738982,44.14721529
K25,10,6/22/2022,EG/LS,0,0,2,2,1 wing,K25 10,-68.24714206,44.14703359
H22,19,7/10/2022,EG/LS,0,0,0,0,,H22 19,-68.24912765,44.14821708
D08,16,8/16/2022,EG/LS,0,0,0,0,,D08 16,-68.25192373,44.1545377
L19,25,7/7/2022,EG/LS/JM,0,3,2,5,1 wing,L19 25,-68.246486,44.14946014
N25,2,8/19/2022,EG/LS/HA,4,1,1,6,,N25 2,-68.24564059,44.14711372
I30,21,7/16/2022,EG/LS,0,0,0,0,2 HERG nests,I30 21,-68.2489244,44.14452441
E15,24,7/30/2022,EG/LS,0,2,0,2,,E15 24,-68.25096438,44.15129024
G09,5,6/17/2022,LS,0,0,0,0,,G09 5,-68.2495502,44.15434207
H19,3,6/28/2022,EG/LS,0,0,1,1,,H19 3,-68.24923214,44.14983835
G20,4,6/28/2022,EG/LS,1,4,1,6,"2 pairs wings, otter scat",G20 4,-68.24973797,44.14939151
I16,12,6/24/2022,EG/LS/AP,0,3,5,8,,I16 12,-68.24871716,44.15100539
G03,21,8/15/2022,EG/LS,0,0,0,0,,G03 21,-68.25002072,44.156686
N21,1,7/4/2022,EG/LS,0,2,0,2,,N21 1,-68.24577749,44.14892268
M05,22,8/18/2022,EG/LS/HA,6,2,0,8,,M05 22,-68.24615572,44.15576024
I08,1,6/25/2022,EG/LS/JM,0,0,0,0,,I08 1,-68.24879423,44.15478726
O30,2,6/11/2022,LS,3,0,1,4,,O30 2,-68.24504414,44.14485896
H22,7,7/10/2022,EG/LS,0,0,0,0,,H22 7,-68.24937543,44.14839877
F07,1,6/17/2022,EG,0,0,0,0,,F07 1,-68.25066419,44.1552497
B08,7,8/16/2022,EG/LS,0,0,0,0,,B08 7,-68.25298802,44.15476779
I02,5,8/15/2022,EG/LS,0,0,0,0,,I02 5,-68.24825977,44.15748472
N36,6,8/11/2022,EG/LS,0,0,0,0,,N36 6,-68.2458298,44.14207314
G19,11,6/28/2022,EG/LS,0,0,0,0,,G19 11,-68.25010965,44.14966405
O27,1,6/19/2022,LS,0,4,2,6,,O27 1,-68.24515195,44.14621016
J01,24,8/15/2022,EG/LS,0,0,0,0,,J01 24,-68.24775843,44.15757145
P33,19,8/12/2022,EG/LS,0,0,0,0,,P33 19,-68.24418966,44.14323273
J04,23,7/24/2022,EG/LS/WH,0,0,0,0,,J04 23,-68.24790063,44.1562219
H15,14,7/28/2022,EG/LS/AP,0,0,0,0,,H15 14,-68.24908656,44.15145798
I01,13,8/15/2022,EG/LS,0,0,0,0,,I01 13,-68.24850191,44.15774071
K18,14,7/8/2022,EG/LS,0,0,0,0,,K18 14,-68.24722818,44.15009526
H18,14,6/28/2022,EG/LS,0,1,1,2,,H18 14,-68.24910368,44.15010761
M21,21,6/12/2022,EG,0,2,0,2,,M21 21,-68.24637242,44.14855907
L30,21,6/16/2022,LS,0,0,0,0,,L30 21,-68.24704907,44.14451207
N25,24,8/19/2022,EG/LS/HA,13,3,6,22,,N25 24,-68.24539512,44.14675197
G15,13,7/28/2022,EG/LS/AP,0,0,0,0,,G15 13,-68.24983678,44.15146291
H27,18,7/16/2022,EG/LS,0,0,0,0,,H27 18,-68.24928121,44.14596728
M28,12,8/20/2022,EG/LS/HA,2,0,0,2,,M28 12,-68.2462852,44.14558742
F09,9,6/17/2022,LS,0,0,0,0,,F09 9,-68.25030159,44.15425697
N25,22,8/19/2022,EG/LS/HA,2,0,0,2,,N25 22,-68.24564517,44.14675362
K14,8,7/25/2022,EG/LS/JM,0,0,0,0,,K14 8,-68.24737504,44.15196296
H06,18,7/12/2022,EG/LS,0,0,0,0,incl. cabin,H06 18,-68.24916137,44.1554199
H16,12,6/24/2022,EG/LS/AP,0,3,0,3,,H16 12,-68.24934234,44.1510095
H14,5,7/28/2022,EG/LS/AP,0,0,0,0,,H14 5,-68.24895353,44.15208733
H16,23,6/24/2022,EG/LS/AP,0,0,0,0,1 pair wings,H16 23,-68.24921959,44.15082863
F08,3,6/17/2022,EG,0,0,0,0,,F08 3,-68.2504198,44.15479794
I22,6,7/10/2022,EG/LS,0,0,0,0,,I22 6,-68.24887531,44.14839549
M05,15,8/18/2022,EG/LS/HA,0,0,0,0,,M05 15,-68.24577829,44.15593781
M28,19,8/20/2022,EG/LS/HA,4,0,0,4,,M28 19,-68.2460363,44.14549574
O28,20,6/18/2022,EG/LS,0,0,0,0,,O28 20,-68.24466104,44.14548666
J32,8,8/13/2022,EG/LS,0,0,0,0,,J32 8,-68.24805725,44.14388848
I24,22,7/10/2022,EG/LS,0,0,0,0,,I24 22,-68.24876512,44.14722434
G21,3,6/28/2022,EG/LS,0,0,0,0,1 wing,G21 3,-68.24986871,44.14894221
L33,19,6/11/2022,LS,0,0,0,0,,L33 19,-68.24669004,44.14324924
G17,10,6/24/2022,EG/LS/AP,0,0,0,0,,G17 10,-68.24959697,44.15065104
N24,20,6/26/2022,EG/LS,15,8,11,34,4 pairs wings  ,N24 20,-68.24526321,44.14729129
J34,13,8/13/2022,EG/LS,0,0,0,0,,J34 13,-68.24806982,44.1428982
K04,7,7/24/2022,EG/LS/WH,9,1,4,14,2 deaths,K04 7,-68.24739702,44.15648868
H07,21,6/25/2022,EG/LS,0,0,0,0,,H07 21,-68.24941831,44.15488139
H23,9,7/10/2022,EG/LS,0,0,0,0,,H23 9,-68.24913108,44.14794701
G04,24,8/15/2022,EG/LS,0,0,0,0,,G04 24,-68.24965128,44.15623341
H03,1,7/24/2022,EG/LS/WH,0,0,0,0,,H03 1,-68.24939092,44.15704199
H01,19,8/15/2022,EG/LS,0,0,0,0,,H01 19,-68.24900316,44.1576589
M05,9,8/18/2022,EG/LS/HA,6,5,6,17,2 deaths,M05 9,-68.24590219,44.15602866
O06,7,7/21/2022,EG/LS,8,1,0,9,1 death,O06 7,-68.24490958,44.15558013
L30,17,6/16/2022,EG,2,1,1,4,,L30 17,-68.24692291,44.14460127
O32,12,8/11/2022,EG/LS,0,0,0,0,,O32 12,-68.24505791,44.14377866
I32,2,8/13/2022,EG/LS,0,0,0,0,,I32 2,-68.24880623,44.14398344
L07,23,6/25/2022,EG/LS,0,0,0,0,1 pair wings,L07 23,-68.24666735,44.15486329
N34,17,8/11/2022,EG/LS,0,0,0,0,incl. foundation,N34 17,-68.24569562,44.14279252
N35,24,8/11/2022,EG/LS,0,0,0,0,,N35 24,-68.24545246,44.14225072
O27,2,6/19/2022,EG/JM,0,0,1,1,,O27 2,-68.24502693,44.14620934
M22,7,6/23/2022,EG,8,5,6,19,3 pairs wings,M22 7,-68.24624968,44.14837819
L21,24,6/12/2022,EG,2,2,2,6,,L21 24,-68.24662248,44.14856072
M01,17,8/15/2022,EG/LS,0,0,2,2,,M01 17,-68.24613165,44.15765076
E18,14,7/30/2022,EG/LS,0,4,0,4,,E18 14,-68.25097919,44.15011992
I27,5,7/16/2022,EG/LS,4,0,0,4,,I27 5,-68.24840261,44.1462316
M06,15,7/21/2022,EG/LS,8,1,3,12,,M06 15,-68.24578402,44.15548768
M28,17,8/20/2022,EG/LS/HA,2,1,1,4,,M28 17,-68.24628634,44.14549739
J31,14,8/13/2022,EG/LS,0,0,0,0,,J31 14,-68.24792765,44.14424775
C08,11,8/16/2022,EG/LS,0,0,0,0,,C08 11,-68.25254781,44.15463182
E17,12,7/30/2022,EG/LS,0,0,0,0,,E17 12,-68.25122356,44.15057168
M27,13,6/18/2022,EG/LS,2,2,2,6,,M27 13,-68.24615444,44.14603672
K24,9,6/23/2022,LS,0,1,0,1,,K24 9,-68.24726136,44.14748454
N27,18,6/18/2022,EG/LS,6,3,3,12,,N27 18,-68.24553047,44.14594257
J19,20,7/8/2022,EG/LS,1,0,1,2,,J19 20,-68.24773518,44.14955841
J15,4,7/25/2022,EG/LS/JM,0,1,0,1,,J15 4,-68.24783391,44.15162981
I27,19,7/16/2022,EG/LS,7,0,1,8,1 death,I27 19,-68.24853106,44.14596234
H28,3,7/16/2022,EG/LS,0,0,0,0,,H28 3,-68.24928349,44.14578723
K02,18,8/15/2022,EG/LS,0,2,4,6,,K02 18,-68.24726281,44.15720805
M05,5,8/18/2022,EG/LS/HA,10,3,5,18,,M05 5,-68.24577599,44.15611786
J22,11,6/12/2022,LS,0,0,0,0,,J22 11,-68.2482513,44.14830135
